bandwidth,data_precision,compute_pipeline,Array_i,Array_j,sram_size,M,K,N,m,k,n,dataflow,loops,m_loop_times,k_loop_times,n_loop_times,cmd,ret_code,cycle,computation_cycle,communication_cycle,communication_A_cycle,communication_B_cycle,communication_C_cycle,communication_Y_cycle,PE_utility,throughput,communication_off_chip,communication_on_chip,communication_interval,communication_internal,energy_cost_communication,energy_cost_computation
128,8,1,64,64,65536,512,512,512,64,64,64,ws,nkm,8,8,8,python ./os/nkm/start_repeat.py,0,99262,32896,51168,16384,2048,16384,16352,0.33011625798392136,1352.1561927021419,6553600,8388608,400490496,402653184,1763704832,134217728
128,8,1,64,64,65536,512,512,512,64,64,64,ws,nmk,8,8,8,python ./os/nmk/start_repeat.py,0,86880,32896,36832,16384,16384,2048,2016,0.37716390423572743,1544.8633517495396,4718592,8388608,400490496,402653184,1396703232,134217728
128,8,1,64,64,65536,512,512,512,64,64,64,ws,kmn,8,8,8,python ./os/kmn/start_repeat.py,0,99262,32896,51168,2048,16384,16384,16352,0.33011625798392136,1352.1561927021419,6553600,8388608,400490496,402653184,1763704832,134217728
128,8,1,64,64,65536,512,512,512,64,64,64,ws,knm,8,8,8,python ./os/knm/start_repeat.py,0,99262,32896,51168,16384,2048,16384,16352,0.33011625798392136,1352.1561927021419,6553600,8388608,400490496,402653184,1763704832,134217728
128,8,1,64,64,65536,512,512,512,64,64,64,ws,mnk,8,8,8,python ./os/mnk/start_repeat.py,0,86880,32896,36832,16384,16384,2048,2016,0.37716390423572743,1544.8633517495396,4718592,8388608,400490496,402653184,1396703232,134217728
128,8,1,64,64,65536,512,512,512,64,64,64,ws,mkn,8,8,8,python ./os/mkn/start_repeat.py,0,99262,32896,51168,2048,16384,16384,16352,0.33011625798392136,1352.1561927021419,6553600,8388608,400490496,402653184,1763704832,134217728
128,8,1,64,64,65536,512,512,512,64,64,64,os,nkm,8,8,8,python ./os/nkm/start_repeat.py,0,99262,32896,51168,16384,2048,16384,16352,0.33011625798392136,1352.1561927021419,6553600,8388608,400490496,402653184,1763704832,134217728
128,8,1,64,64,65536,512,512,512,64,64,64,os,nmk,8,8,8,python ./os/nmk/start_repeat.py,0,86880,32896,36832,16384,16384,2048,2016,0.37716390423572743,1544.8633517495396,4718592,8388608,400490496,402653184,1396703232,134217728
128,8,1,64,64,65536,512,512,512,64,64,64,os,kmn,8,8,8,python ./os/kmn/start_repeat.py,0,99262,32896,51168,2048,16384,16384,16352,0.33011625798392136,1352.1561927021419,6553600,8388608,400490496,402653184,1763704832,134217728
128,8,1,64,64,65536,512,512,512,64,64,64,os,knm,8,8,8,python ./os/knm/start_repeat.py,0,99262,32896,51168,16384,2048,16384,16352,0.33011625798392136,1352.1561927021419,6553600,8388608,400490496,402653184,1763704832,134217728
128,8,1,64,64,65536,512,512,512,64,64,64,os,mnk,8,8,8,python ./os/mnk/start_repeat.py,0,86880,32896,36832,16384,16384,2048,2016,0.37716390423572743,1544.8633517495396,4718592,8388608,400490496,402653184,1396703232,134217728
