bandwidth,data_precision,compute_pipeline,Array_i,Array_j,sram_size,M,K,N,m,k,n,dataflow,loops,m_loop_times,k_loop_times,n_loop_times,cmd,ret_code,cycle,computation_cycle,communication_cycle,communication_A_cycle,communication_B_cycle,communication_C_cycle,communication_Y_cycle,PE_utility,throughput,communication_off_chip,communication_on_chip,communication_interval,communication_internal,energy_cost_communication,energy_cost_computation
64,8,1,64,64,65536,1024,1024,1024,64,64,64,ws,nkm,16,16,16,python ./os/nkm/start_repeat.py,0,940032,262272,802752,262144,16384,262144,262080,0.2788671023965142,1142.2396514161221,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,64,ws,nmk,16,16,16,python ./os/nmk/start_repeat.py,0,823423,262272,556992,262144,262144,16384,16320,0.31835885079722087,1303.9978528654167,35651584,67108864,3203923968,3221225472,10754195456,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,64,ws,kmn,16,16,16,python ./os/kmn/start_repeat.py,0,940032,262272,802752,16384,262144,262144,262080,0.2788671023965142,1142.2396514161221,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,64,ws,knm,16,16,16,python ./os/knm/start_repeat.py,0,940032,262272,802752,262144,16384,262144,262080,0.2788671023965142,1142.2396514161221,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,64,ws,mnk,16,16,16,python ./os/mnk/start_repeat.py,0,823423,262272,556992,262144,262144,16384,16320,0.31835885079722087,1303.9978528654167,35651584,67108864,3203923968,3221225472,10754195456,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,64,ws,mkn,16,16,16,python ./os/mkn/start_repeat.py,0,940032,262272,802752,16384,262144,262144,262080,0.2788671023965142,1142.2396514161221,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,64,os,nkm,16,16,16,python ./os/nkm/start_repeat.py,0,940032,262272,802752,262144,16384,262144,262080,0.2788671023965142,1142.2396514161221,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,64,os,nmk,16,16,16,python ./os/nmk/start_repeat.py,0,823423,262272,556992,262144,262144,16384,16320,0.31835885079722087,1303.9978528654167,35651584,67108864,3203923968,3221225472,10754195456,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,64,os,kmn,16,16,16,python ./os/kmn/start_repeat.py,0,940032,262272,802752,16384,262144,262144,262080,0.2788671023965142,1142.2396514161221,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,64,os,knm,16,16,16,python ./os/knm/start_repeat.py,0,940032,262272,802752,262144,16384,262144,262080,0.2788671023965142,1142.2396514161221,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,64,os,mnk,16,16,16,python ./os/mnk/start_repeat.py,0,823423,262272,556992,262144,262144,16384,16320,0.31835885079722087,1303.9978528654167,35651584,67108864,3203923968,3221225472,10754195456,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,64,os,mkn,16,16,16,python ./os/mkn/start_repeat.py,0,940032,262272,802752,16384,262144,262144,262080,0.2788671023965142,1142.2396514161221,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,128,ws,nkm,16,16,8,python ./os/nkm/start_repeat.py,0,675072,262272,671743,131072,16384,262144,262143,0.38832006067500946,1590.5589685248387,42991616,67108864,3203923968,3221225472,12222201856,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,128,ws,nmk,16,16,8,python ./os/nmk/start_repeat.py,0,559296,262272,425919,131072,262144,16384,16319,0.46870351298775603,1919.8095891978487,27262976,67108864,3203923968,3221225472,9076473856,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,128,ws,kmn,16,16,8,python ./os/kmn/start_repeat.py,0,804930,262272,802816,16384,262144,262144,262144,0.3256730398916676,1333.9567713962706,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,128,ws,knm,16,16,8,python ./os/knm/start_repeat.py,0,675072,262272,671743,131072,16384,262144,262143,0.38832006067500946,1590.5589685248387,42991616,67108864,3203923968,3221225472,12222201856,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,128,ws,mnk,16,16,8,python ./os/mnk/start_repeat.py,0,559296,262272,425919,131072,262144,16384,16319,0.46870351298775603,1919.8095891978487,27262976,67108864,3203923968,3221225472,9076473856,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,128,ws,mkn,16,16,8,python ./os/mkn/start_repeat.py,0,804930,262272,802816,16384,262144,262144,262144,0.3256730398916676,1333.9567713962706,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,128,os,nkm,16,16,8,python ./os/nkm/start_repeat.py,0,675072,262272,671743,131072,16384,262144,262143,0.38832006067500946,1590.5589685248387,42991616,67108864,3203923968,3221225472,12222201856,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,128,os,nmk,16,16,8,python ./os/nmk/start_repeat.py,0,559296,262272,425919,131072,262144,16384,16319,0.46870351298775603,1919.8095891978487,27262976,67108864,3203923968,3221225472,9076473856,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,128,os,kmn,16,16,8,python ./os/kmn/start_repeat.py,0,804930,262272,802816,16384,262144,262144,262144,0.3256730398916676,1333.9567713962706,51380224,67108864,3203923968,3221225472,13899923456,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,128,os,knm,16,16,8,python ./os/knm/start_repeat.py,0,675072,262272,671743,131072,16384,262144,262143,0.38832006067500946,1590.5589685248387,42991616,67108864,3203923968,3221225472,12222201856,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,128,os,mnk,16,16,8,python ./os/mnk/start_repeat.py,0,559296,262272,425919,131072,262144,16384,16319,0.46870351298775603,1919.8095891978487,27262976,67108864,3203923968,3221225472,9076473856,1073741824
64,8,1,64,64,65536,1024,1024,1024,64,64,128,os,mkn,16,16,8,python ./os/mkn/start_repeat.py,0,804930,262272,802816,16384,262144,262144,262144,0.3256730398916676,1333.9567713962706,51380224,67108864,3203923968,3221225472,13899923456,1073741824
