bandwidth,data_precision,compute_pipeline,Array_i,Array_j,sram_size,M,K,N,m,k,n,dataflow,loops,m_loop_times,k_loop_times,n_loop_times,cmd,ret_code,cycle,computation_cycle,communication_cycle,communication_A_cycle,communication_B_cycle,communication_C_cycle,communication_Y_cycle,PE_utility,throughput,communication_off_chip,communication_on_chip,communication_interval,communication_internal,energy_cost_communication,energy_cost_computation
128,8,1,256,256,8388608,512,512,512,256,256,256,ws,nkm,2,2,2,python ./os/nkm/start_repeat.py,0,11529,2560,9728,4096,2048,2048,1536,0.17763899731112845,11641.749327782114,1310720,2097152,402124800,402653184,677380096,134217728
128,8,1,256,256,8388608,512,512,512,256,256,256,ws,nmk,2,2,2,python ./os/nmk/start_repeat.py,0,11530,2560,9728,4096,2048,2048,1536,0.17762359063313096,11640.73963573287,1310720,2097152,402124800,402653184,677380096,134217728
128,8,1,256,256,8388608,512,512,512,256,256,256,ws,kmn,2,2,2,python ./os/kmn/start_repeat.py,0,13321,2560,12287,2048,2048,4096,4095,0.15374221154567974,10075.649575857668,1572864,2097152,402124800,402653184,729808896,134217728
128,8,1,256,256,8388608,512,512,512,256,256,256,ws,knm,2,2,2,python ./os/knm/start_repeat.py,0,13321,2560,12287,2048,2048,4096,4095,0.15374221154567974,10075.649575857668,1572864,2097152,402124800,402653184,729808896,134217728
128,8,1,256,256,8388608,512,512,512,256,256,256,ws,mnk,2,2,2,python ./os/mnk/start_repeat.py,0,11530,2560,9728,2048,4096,2048,1536,0.17762359063313096,11640.73963573287,1310720,2097152,402124800,402653184,677380096,134217728
128,8,1,256,256,8388608,512,512,512,256,256,256,ws,mkn,2,2,2,python ./os/mkn/start_repeat.py,0,11529,2560,9728,2048,4096,2048,1536,0.17763899731112845,11641.749327782114,1310720,2097152,402124800,402653184,677380096,134217728
128,8,1,256,256,8388608,512,512,512,256,256,256,os,nkm,2,2,2,python ./os/nkm/start_repeat.py,0,11529,2560,9728,4096,2048,2048,1536,0.17763899731112845,11641.749327782114,1310720,2097152,402124800,402653184,677380096,134217728
128,8,1,256,256,8388608,512,512,512,256,256,256,os,nmk,2,2,2,python ./os/nmk/start_repeat.py,0,11530,2560,9728,4096,2048,2048,1536,0.17762359063313096,11640.73963573287,1310720,2097152,402124800,402653184,677380096,134217728
128,8,1,256,256,8388608,512,512,512,256,256,256,os,kmn,2,2,2,python ./os/kmn/start_repeat.py,0,13321,2560,12287,2048,2048,4096,4095,0.15374221154567974,10075.649575857668,1572864,2097152,402124800,402653184,729808896,134217728
128,8,1,256,256,8388608,512,512,512,256,256,256,os,knm,2,2,2,python ./os/knm/start_repeat.py,0,13321,2560,12287,2048,2048,4096,4095,0.15374221154567974,10075.649575857668,1572864,2097152,402124800,402653184,729808896,134217728
128,8,1,256,256,8388608,512,512,512,256,256,256,os,mnk,2,2,2,python ./os/mnk/start_repeat.py,0,11530,2560,9728,2048,4096,2048,1536,0.17762359063313096,11640.73963573287,1310720,2097152,402124800,402653184,677380096,134217728
128,8,1,256,256,8388608,512,512,512,256,256,256,os,mkn,2,2,2,python ./os/mkn/start_repeat.py,0,11529,2560,9728,2048,4096,2048,1536,0.17763899731112845,11641.749327782114,1310720,2097152,402124800,402653184,677380096,134217728
128,8,1,256,256,8388608,512,512,512,256,256,512,ws,nkm,2,2,1,python ./os/nkm/start_repeat.py,0,9219,2560,7423,2048,2048,2048,1279,0.22214990779911054,14558.816357522508,1048576,2097152,402124800,402653184,624951296,134217728
128,8,1,256,256,8388608,512,512,512,256,256,512,ws,nmk,2,2,1,python ./os/nmk/start_repeat.py,0,9219,2560,7423,2048,2048,2048,1279,0.22214990779911054,14558.816357522508,1048576,2097152,402124800,402653184,624951296,134217728
128,8,1,256,256,8388608,512,512,512,256,256,512,ws,kmn,2,2,1,python ./os/kmn/start_repeat.py,0,9219,2560,7423,2048,2048,2048,1279,0.22214990779911054,14558.816357522508,1048576,2097152,402124800,402653184,624951296,134217728
128,8,1,256,256,8388608,512,512,512,256,256,512,ws,knm,2,2,1,python ./os/knm/start_repeat.py,0,9219,2560,7423,2048,2048,2048,1279,0.22214990779911054,14558.816357522508,1048576,2097152,402124800,402653184,624951296,134217728
128,8,1,256,256,8388608,512,512,512,256,256,512,ws,mnk,2,2,1,python ./os/mnk/start_repeat.py,0,9219,2560,7423,2048,2048,2048,1279,0.22214990779911054,14558.816357522508,1048576,2097152,402124800,402653184,624951296,134217728
128,8,1,256,256,8388608,512,512,512,256,256,512,ws,mkn,2,2,1,python ./os/mkn/start_repeat.py,0,9219,2560,7423,2048,2048,2048,1279,0.22214990779911054,14558.816357522508,1048576,2097152,402124800,402653184,624951296,134217728
128,8,1,256,256,8388608,512,512,512,256,256,512,os,nkm,2,2,1,python ./os/nkm/start_repeat.py,0,9219,2560,7423,2048,2048,2048,1279,0.22214990779911054,14558.816357522508,1048576,2097152,402124800,402653184,624951296,134217728
128,8,1,256,256,8388608,512,512,512,256,256,512,os,nmk,2,2,1,python ./os/nmk/start_repeat.py,0,9219,2560,7423,2048,2048,2048,1279,0.22214990779911054,14558.816357522508,1048576,2097152,402124800,402653184,624951296,134217728
128,8,1,256,256,8388608,512,512,512,256,256,512,os,kmn,2,2,1,python ./os/kmn/start_repeat.py,0,9219,2560,7423,2048,2048,2048,1279,0.22214990779911054,14558.816357522508,1048576,2097152,402124800,402653184,624951296,134217728
128,8,1,256,256,8388608,512,512,512,256,256,512,os,knm,2,2,1,python ./os/knm/start_repeat.py,0,9219,2560,7423,2048,2048,2048,1279,0.22214990779911054,14558.816357522508,1048576,2097152,402124800,402653184,624951296,134217728
128,8,1,256,256,8388608,512,512,512,256,256,512,os,mnk,2,2,1,python ./os/mnk/start_repeat.py,0,9219,2560,7423,2048,2048,2048,1279,0.22214990779911054,14558.816357522508,1048576,2097152,402124800,402653184,624951296,134217728
128,8,1,256,256,8388608,512,512,512,256,256,512,os,mkn,2,2,1,python ./os/mkn/start_repeat.py,0,9219,2560,7423,2048,2048,2048,1279,0.22214990779911054,14558.816357522508,1048576,2097152,402124800,402653184,624951296,134217728
128,8,1,256,256,8388608,512,512,512,256,512,256,ws,nkm,2,1,2,python ./os/nkm/start_repeat.py,0,9476,2560,8191,2048,2048,2048,2047,0.2161249472351203,14163.964542000844,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,256,ws,nmk,2,1,2,python ./os/nmk/start_repeat.py,0,9476,2560,8191,2048,2048,2048,2047,0.2161249472351203,14163.964542000844,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,256,ws,kmn,2,1,2,python ./os/kmn/start_repeat.py,0,9476,2560,8191,2048,2048,2048,2047,0.2161249472351203,14163.964542000844,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,256,ws,knm,2,1,2,python ./os/knm/start_repeat.py,0,9476,2560,8191,2048,2048,2048,2047,0.2161249472351203,14163.964542000844,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,256,ws,mnk,2,1,2,python ./os/mnk/start_repeat.py,0,9476,2560,8191,2048,2048,2048,2047,0.2161249472351203,14163.964542000844,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,256,ws,mkn,2,1,2,python ./os/mkn/start_repeat.py,0,9476,2560,8191,2048,2048,2048,2047,0.2161249472351203,14163.964542000844,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,256,os,nkm,2,1,2,python ./os/nkm/start_repeat.py,0,9476,2560,8191,2048,2048,2048,2047,0.2161249472351203,14163.964542000844,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,256,os,nmk,2,1,2,python ./os/nmk/start_repeat.py,0,9476,2560,8191,2048,2048,2048,2047,0.2161249472351203,14163.964542000844,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,256,os,kmn,2,1,2,python ./os/kmn/start_repeat.py,0,9476,2560,8191,2048,2048,2048,2047,0.2161249472351203,14163.964542000844,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,256,os,knm,2,1,2,python ./os/knm/start_repeat.py,0,9476,2560,8191,2048,2048,2048,2047,0.2161249472351203,14163.964542000844,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,256,os,mnk,2,1,2,python ./os/mnk/start_repeat.py,0,9476,2560,8191,2048,2048,2048,2047,0.2161249472351203,14163.964542000844,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,256,os,mkn,2,1,2,python ./os/mkn/start_repeat.py,0,9476,2560,8191,2048,2048,2048,2047,0.2161249472351203,14163.964542000844,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,512,ws,nkm,2,1,1,python ./os/nkm/start_repeat.py,0,9218,2560,8192,2048,2048,2048,2048,0.22217400737687135,14560.39574745064,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,512,ws,nmk,2,1,1,python ./os/nmk/start_repeat.py,0,9218,2560,8192,2048,2048,2048,2048,0.22217400737687135,14560.39574745064,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,512,ws,kmn,2,1,1,python ./os/kmn/start_repeat.py,0,9218,2560,8192,2048,2048,2048,2048,0.22217400737687135,14560.39574745064,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,512,ws,knm,2,1,1,python ./os/knm/start_repeat.py,0,9218,2560,8192,2048,2048,2048,2048,0.22217400737687135,14560.39574745064,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,512,ws,mnk,2,1,1,python ./os/mnk/start_repeat.py,0,9218,2560,8192,2048,2048,2048,2048,0.22217400737687135,14560.39574745064,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,512,ws,mkn,2,1,1,python ./os/mkn/start_repeat.py,0,9218,2560,8192,2048,2048,2048,2048,0.22217400737687135,14560.39574745064,1048576,1572864,335278080,402653184,621805568,134217728
128,8,1,256,256,8388608,512,512,512,256,512,512,os,nkm,2,1,1,python ./os/nkm/start_repeat.py,0,9218,2560,8192,2048,2048,2048,2048,0.22217400737687135,14560.39574745064,1048576,1572864,335278080,402653184,621805568,134217728
