bandwidth,data_precision,compute_pipeline,Array_i,Array_j,sram_size,M,K,N,m,k,n,dataflow,loops,m_loop_times,k_loop_times,n_loop_times,cmd,ret_code,cycle,computation_cycle,communication_cycle,communication_A_cycle,communication_B_cycle,communication_C_cycle,communication_Y_cycle,PE_utility,throughput,communication_off_chip,communication_on_chip,communication_interval,communication_internal,energy_cost_communication,energy_cost_computation
256,8,1,256,256,1048576,4096,4096,4096,256,256,256,ws,nkm,16,16,16,python ./os/nkm/start_repeat.py,0,3742464,1049088,3211008,1048576,65536,1048576,1048320,0.2801833230727136,18362.09426089336,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
256,8,1,256,256,1048576,4096,4096,4096,256,256,256,ws,nmk,16,16,16,python ./os/nmk/start_repeat.py,0,3281407,1049088,2227968,1048576,1048576,65536,65280,0.3195507293060568,20942.07659580174,570425344,1073741824,205887897600,206158430208,326685949952,68719476736
256,8,1,256,256,1048576,4096,4096,4096,256,256,256,ws,kmn,16,16,16,python ./os/kmn/start_repeat.py,0,3742464,1049088,3211008,65536,1048576,1048576,1048320,0.2801833230727136,18362.09426089336,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
256,8,1,256,256,1048576,4096,4096,4096,256,256,256,ws,knm,16,16,16,python ./os/knm/start_repeat.py,0,3742464,1049088,3211008,1048576,65536,1048576,1048320,0.2801833230727136,18362.09426089336,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
256,8,1,256,256,1048576,4096,4096,4096,256,256,256,ws,mnk,16,16,16,python ./os/mnk/start_repeat.py,0,3281407,1049088,2227968,1048576,1048576,65536,65280,0.3195507293060568,20942.07659580174,570425344,1073741824,205887897600,206158430208,326685949952,68719476736
256,8,1,256,256,1048576,4096,4096,4096,256,256,256,ws,mkn,16,16,16,python ./os/mkn/start_repeat.py,0,3742464,1049088,3211008,65536,1048576,1048576,1048320,0.2801833230727136,18362.09426089336,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
256,8,1,256,256,1048576,4096,4096,4096,256,256,256,os,nkm,16,16,16,python ./os/nkm/start_repeat.py,0,3742464,1049088,3211008,1048576,65536,1048576,1048320,0.2801833230727136,18362.09426089336,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
256,8,1,256,256,1048576,4096,4096,4096,256,256,256,os,nmk,16,16,16,python ./os/nmk/start_repeat.py,0,3281407,1049088,2227968,1048576,1048576,65536,65280,0.3195507293060568,20942.07659580174,570425344,1073741824,205887897600,206158430208,326685949952,68719476736
256,8,1,256,256,1048576,4096,4096,4096,256,256,256,os,kmn,16,16,16,python ./os/kmn/start_repeat.py,0,3742464,1049088,3211008,65536,1048576,1048576,1048320,0.2801833230727136,18362.09426089336,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
256,8,1,256,256,1048576,4096,4096,4096,256,256,256,os,knm,16,16,16,python ./os/knm/start_repeat.py,0,3742464,1049088,3211008,1048576,65536,1048576,1048320,0.2801833230727136,18362.09426089336,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
256,8,1,256,256,1048576,4096,4096,4096,256,256,256,os,mnk,16,16,16,python ./os/mnk/start_repeat.py,0,3281407,1049088,2227968,1048576,1048576,65536,65280,0.3195507293060568,20942.07659580174,570425344,1073741824,205887897600,206158430208,326685949952,68719476736
256,8,1,256,256,1048576,4096,4096,4096,256,256,256,os,mkn,16,16,16,python ./os/mkn/start_repeat.py,0,3742464,1049088,3211008,65536,1048576,1048576,1048320,0.2801833230727136,18362.09426089336,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
256,8,1,256,256,1048576,4096,4096,4096,256,256,512,ws,nkm,16,16,8,python ./os/nkm/start_repeat.py,0,2691456,1049088,2686975,524288,65536,1048576,1048575,0.389594331098112,25532.454082845867,687865856,1073741824,205887897600,206158430208,350174052352,68719476736
256,8,1,256,256,1048576,4096,4096,4096,256,256,512,ws,nmk,16,16,8,python ./os/nmk/start_repeat.py,0,2231040,1049088,1703679,524288,1048576,65536,65279,0.4699942627653471,30801.54400458979,436207616,1073741824,205887897600,206158430208,299842404352,68719476736
