bandwidth,data_precision,compute_pipeline,Array_i,Array_j,sram_size,M,K,N,m,k,n,dataflow,loops,m_loop_times,k_loop_times,n_loop_times,cmd,ret_code,cycle,computation_cycle,communication_cycle,communication_A_cycle,communication_B_cycle,communication_C_cycle,communication_Y_cycle,PE_utility,throughput,communication_off_chip,communication_on_chip,communication_interval,communication_internal,energy_cost_communication,energy_cost_computation
128,8,1,256,256,262144,4096,4096,4096,256,256,256,ws,nkm,16,16,16,python ./os/nkm/start_repeat.py,0,6427138,1049088,6422272,2097152,131072,2097152,2096896,0.16314820064545058,10692.080477500249,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,256,ws,nmk,16,16,16,python ./os/nmk/start_repeat.py,0,4461311,1049088,4456190,2097152,2097152,131072,130814,0.23503763803958075,15403.426646561964,570425344,1073741824,205887897600,206158430208,326685949952,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,256,ws,kmn,16,16,16,python ./os/kmn/start_repeat.py,0,6427138,1049088,6422272,131072,2097152,2097152,2096896,0.16314820064545058,10692.080477500249,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,256,ws,knm,16,16,16,python ./os/knm/start_repeat.py,0,6427138,1049088,6422272,2097152,131072,2097152,2096896,0.16314820064545058,10692.080477500249,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,256,ws,mnk,16,16,16,python ./os/mnk/start_repeat.py,0,4461311,1049088,4456190,2097152,2097152,131072,130814,0.23503763803958075,15403.426646561964,570425344,1073741824,205887897600,206158430208,326685949952,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,256,ws,mkn,16,16,16,python ./os/mkn/start_repeat.py,0,6427138,1049088,6422272,131072,2097152,2097152,2096896,0.16314820064545058,10692.080477500249,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,256,os,nkm,16,16,16,python ./os/nkm/start_repeat.py,0,6427138,1049088,6422272,2097152,131072,2097152,2096896,0.16314820064545058,10692.080477500249,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,256,os,nmk,16,16,16,python ./os/nmk/start_repeat.py,0,4461311,1049088,4456190,2097152,2097152,131072,130814,0.23503763803958075,15403.426646561964,570425344,1073741824,205887897600,206158430208,326685949952,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,256,os,kmn,16,16,16,python ./os/kmn/start_repeat.py,0,6427138,1049088,6422272,131072,2097152,2097152,2096896,0.16314820064545058,10692.080477500249,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,256,os,knm,16,16,16,python ./os/knm/start_repeat.py,0,6427138,1049088,6422272,2097152,131072,2097152,2096896,0.16314820064545058,10692.080477500249,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,256,os,mnk,16,16,16,python ./os/mnk/start_repeat.py,0,4461311,1049088,4456190,2097152,2097152,131072,130814,0.23503763803958075,15403.426646561964,570425344,1073741824,205887897600,206158430208,326685949952,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,256,os,mkn,16,16,16,python ./os/mkn/start_repeat.py,0,6427138,1049088,6422272,131072,2097152,2097152,2096896,0.16314820064545058,10692.080477500249,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,512,ws,nkm,16,16,8,python ./os/nkm/start_repeat.py,0,5376385,1049088,5373440,1048576,131072,2097152,2096640,0.19503365179390986,12781.725403965676,687865856,1073741824,205887897600,206158430208,350174052352,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,512,ws,nmk,16,16,8,python ./os/nmk/start_repeat.py,0,3408385,1049088,3407360,1048576,2097152,131072,130560,0.30764599656435526,20161.888030841586,436207616,1073741824,205887897600,206158430208,299842404352,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,512,ws,kmn,16,16,8,python ./os/kmn/start_repeat.py,0,6424833,1049088,6422016,131072,2097152,2097152,2096640,0.16320673237732405,10695.91641308031,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,512,ws,knm,16,16,8,python ./os/knm/start_repeat.py,0,5376385,1049088,5373440,1048576,131072,2097152,2096640,0.19503365179390986,12781.725403965676,687865856,1073741824,205887897600,206158430208,350174052352,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,512,ws,mnk,16,16,8,python ./os/mnk/start_repeat.py,0,3408385,1049088,3407360,1048576,2097152,131072,130560,0.30764599656435526,20161.888030841586,436207616,1073741824,205887897600,206158430208,299842404352,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,512,ws,mkn,16,16,8,python ./os/mkn/start_repeat.py,0,6424833,1049088,6422016,131072,2097152,2097152,2096640,0.16320673237732405,10695.91641308031,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,512,os,nkm,16,16,8,python ./os/nkm/start_repeat.py,0,5376385,1049088,5373440,1048576,131072,2097152,2096640,0.19503365179390986,12781.725403965676,687865856,1073741824,205887897600,206158430208,350174052352,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,512,os,nmk,16,16,8,python ./os/nmk/start_repeat.py,0,3408385,1049088,3407360,1048576,2097152,131072,130560,0.30764599656435526,20161.888030841586,436207616,1073741824,205887897600,206158430208,299842404352,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,512,os,kmn,16,16,8,python ./os/kmn/start_repeat.py,0,6424833,1049088,6422016,131072,2097152,2097152,2096640,0.16320673237732405,10695.91641308031,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,512,os,knm,16,16,8,python ./os/knm/start_repeat.py,0,5376385,1049088,5373440,1048576,131072,2097152,2096640,0.19503365179390986,12781.725403965676,687865856,1073741824,205887897600,206158430208,350174052352,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,512,os,mnk,16,16,8,python ./os/mnk/start_repeat.py,0,3408385,1049088,3407360,1048576,2097152,131072,130560,0.30764599656435526,20161.888030841586,436207616,1073741824,205887897600,206158430208,299842404352,68719476736
128,8,1,256,256,262144,4096,4096,4096,256,256,512,os,mkn,16,16,8,python ./os/mkn/start_repeat.py,0,6424833,1049088,6422016,131072,2097152,2097152,2096640,0.16320673237732405,10695.91641308031,822083584,1073741824,205887897600,206158430208,377017597952,68719476736
