bandwidth,data_precision,compute_pipeline,Array_i,Array_j,sram_size,M,K,N,m,k,n,dataflow,loops,m_loop_times,k_loop_times,n_loop_times,cmd,ret_code,cycle,computation_cycle,communication_cycle,communication_A_cycle,communication_B_cycle,communication_C_cycle,communication_Y_cycle,PE_utility,throughput,communication_off_chip,communication_on_chip,communication_interval,communication_internal,energy_cost_communication,energy_cost_computation
64,8,1,128,128,4194304,1024,1024,1024,128,128,128,ws,nkm,8,8,8,python ./os/nkm/start_repeat.py,0,410434,65792,409472,131072,16384,131072,130944,0.1596748807360014,2616.113245978647,26214400,33554432,3212705792,3221225472,8665432064,1073741824
64,8,1,128,128,4194304,1024,1024,1024,128,128,128,ws,nmk,8,8,8,python ./os/nmk/start_repeat.py,0,295807,65792,294782,131072,131072,16384,16254,0.2215498619032004,3629.872937422035,18874368,33554432,3212705792,3221225472,7197425664,1073741824
64,8,1,128,128,4194304,1024,1024,1024,128,128,128,ws,kmn,8,8,8,python ./os/kmn/start_repeat.py,0,410434,65792,409472,16384,131072,131072,130944,0.1596748807360014,2616.113245978647,26214400,33554432,3212705792,3221225472,8665432064,1073741824
64,8,1,128,128,4194304,1024,1024,1024,128,128,128,ws,knm,8,8,8,python ./os/knm/start_repeat.py,0,410434,65792,409472,131072,16384,131072,130944,0.1596748807360014,2616.113245978647,26214400,33554432,3212705792,3221225472,8665432064,1073741824
64,8,1,128,128,4194304,1024,1024,1024,128,128,128,ws,mnk,8,8,8,python ./os/mnk/start_repeat.py,0,295807,65792,294782,131072,131072,16384,16254,0.2215498619032004,3629.872937422035,18874368,33554432,3212705792,3221225472,7197425664,1073741824
64,8,1,128,128,4194304,1024,1024,1024,128,128,128,ws,mkn,8,8,8,python ./os/mkn/start_repeat.py,0,410434,65792,409472,16384,131072,131072,130944,0.1596748807360014,2616.113245978647,26214400,33554432,3212705792,3221225472,8665432064,1073741824
64,8,1,128,128,4194304,1024,1024,1024,128,128,128,os,nkm,8,8,8,python ./os/nkm/start_repeat.py,0,410434,65792,409472,131072,16384,131072,130944,0.1596748807360014,2616.113245978647,26214400,33554432,3212705792,3221225472,8665432064,1073741824
64,8,1,128,128,4194304,1024,1024,1024,128,128,128,os,nmk,8,8,8,python ./os/nmk/start_repeat.py,0,295807,65792,294782,131072,131072,16384,16254,0.2215498619032004,3629.872937422035,18874368,33554432,3212705792,3221225472,7197425664,1073741824
64,8,1,128,128,4194304,1024,1024,1024,128,128,128,os,kmn,8,8,8,python ./os/kmn/start_repeat.py,0,410434,65792,409472,16384,131072,131072,130944,0.1596748807360014,2616.113245978647,26214400,33554432,3212705792,3221225472,8665432064,1073741824
64,8,1,128,128,4194304,1024,1024,1024,128,128,128,os,knm,8,8,8,python ./os/knm/start_repeat.py,0,410434,65792,409472,131072,16384,131072,130944,0.1596748807360014,2616.113245978647,26214400,33554432,3212705792,3221225472,8665432064,1073741824
