bandwidth,data_precision,compute_pipeline,Array_i,Array_j,sram_size,M,K,N,m,k,n,dataflow,loops,m_loop_times,k_loop_times,n_loop_times,cmd,ret_code,cycle,computation_cycle,communication_cycle,communication_A_cycle,communication_B_cycle,communication_C_cycle,communication_Y_cycle,PE_utility,throughput,communication_off_chip,communication_on_chip,communication_interval,communication_internal,energy_cost_communication,energy_cost_computation
128,8,1,128,128,65536,512,512,512,128,128,128,ws,nkm,4,4,4,python ./os/nkm/start_repeat.py,0,31312,8448,26496,8192,2048,8192,8064,0.2616249361267246,4286.462953500256,3407872,4194304,401588224,402653184,1109393408,134217728
128,8,1,128,128,65536,512,512,512,128,128,128,ws,nmk,4,4,4,python ./os/nmk/start_repeat.py,0,28991,8448,20352,8192,8192,2048,1920,0.2825704528991756,4629.634300300093,2621440,4194304,401588224,402653184,952107008,134217728
128,8,1,128,128,65536,512,512,512,128,128,128,ws,kmn,4,4,4,python ./os/kmn/start_repeat.py,0,31312,8448,26496,2048,8192,8192,8064,0.2616249361267246,4286.462953500256,3407872,4194304,401588224,402653184,1109393408,134217728
128,8,1,128,128,65536,512,512,512,128,128,128,ws,knm,4,4,4,python ./os/knm/start_repeat.py,0,31312,8448,26496,8192,2048,8192,8064,0.2616249361267246,4286.462953500256,3407872,4194304,401588224,402653184,1109393408,134217728
128,8,1,128,128,65536,512,512,512,128,128,128,ws,mnk,4,4,4,python ./os/mnk/start_repeat.py,0,28991,8448,20352,8192,8192,2048,1920,0.2825704528991756,4629.634300300093,2621440,4194304,401588224,402653184,952107008,134217728
128,8,1,128,128,65536,512,512,512,128,128,128,ws,mkn,4,4,4,python ./os/mkn/start_repeat.py,0,31312,8448,26496,2048,8192,8192,8064,0.2616249361267246,4286.462953500256,3407872,4194304,401588224,402653184,1109393408,134217728
128,8,1,128,128,65536,512,512,512,128,128,128,os,nkm,4,4,4,python ./os/nkm/start_repeat.py,0,31312,8448,26496,8192,2048,8192,8064,0.2616249361267246,4286.462953500256,3407872,4194304,401588224,402653184,1109393408,134217728
128,8,1,128,128,65536,512,512,512,128,128,128,os,nmk,4,4,4,python ./os/nmk/start_repeat.py,0,28991,8448,20352,8192,8192,2048,1920,0.2825704528991756,4629.634300300093,2621440,4194304,401588224,402653184,952107008,134217728
128,8,1,128,128,65536,512,512,512,128,128,128,os,kmn,4,4,4,python ./os/kmn/start_repeat.py,0,31312,8448,26496,2048,8192,8192,8064,0.2616249361267246,4286.462953500256,3407872,4194304,401588224,402653184,1109393408,134217728
128,8,1,128,128,65536,512,512,512,128,128,128,os,knm,4,4,4,python ./os/knm/start_repeat.py,0,31312,8448,26496,8192,2048,8192,8064,0.2616249361267246,4286.462953500256,3407872,4194304,401588224,402653184,1109393408,134217728
128,8,1,128,128,65536,512,512,512,128,128,128,os,mnk,4,4,4,python ./os/mnk/start_repeat.py,0,28991,8448,20352,8192,8192,2048,1920,0.2825704528991756,4629.634300300093,2621440,4194304,401588224,402653184,952107008,134217728
128,8,1,128,128,65536,512,512,512,128,128,128,os,mkn,4,4,4,python ./os/mkn/start_repeat.py,0,31312,8448,26496,2048,8192,8192,8064,0.2616249361267246,4286.462953500256,3407872,4194304,401588224,402653184,1109393408,134217728
128,8,1,128,128,65536,512,512,512,128,128,256,ws,nkm,4,4,2,python ./os/nkm/start_repeat.py,0,23336,8448,22527,4096,2048,8192,8191,0.35104559478916697,5751.531025025712,2883584,4194304,401588224,402653184,1004535808,134217728
128,8,1,128,128,65536,512,512,512,128,128,256,ws,nmk,4,4,2,python ./os/nmk/start_repeat.py,0,20896,8448,16255,4096,8192,2048,1919,0.39203675344563554,6423.130168453293,2097152,4194304,401588224,402653184,847249408,134217728
128,8,1,128,128,65536,512,512,512,128,128,256,ws,kmn,4,4,2,python ./os/kmn/start_repeat.py,0,22698,8448,20480,2048,2048,8192,8192,0.3609128557582166,5913.19622874262,2621440,4194304,401588224,402653184,952107008,134217728
128,8,1,128,128,65536,512,512,512,128,128,256,ws,knm,4,4,2,python ./os/knm/start_repeat.py,0,23336,8448,22527,4096,2048,8192,8191,0.35104559478916697,5751.531025025712,2883584,4194304,401588224,402653184,1004535808,134217728
128,8,1,128,128,65536,512,512,512,128,128,256,ws,mnk,4,4,2,python ./os/mnk/start_repeat.py,0,20896,8448,16255,4096,8192,2048,1919,0.39203675344563554,6423.130168453293,2097152,4194304,401588224,402653184,847249408,134217728
128,8,1,128,128,65536,512,512,512,128,128,256,ws,mkn,4,4,2,python ./os/mkn/start_repeat.py,0,19872,8448,14207,2048,8192,2048,1919,0.41223832528180354,6754.112721417069,1835008,4194304,401588224,402653184,794820608,134217728
128,8,1,128,128,65536,512,512,512,128,128,256,os,nkm,4,4,2,python ./os/nkm/start_repeat.py,0,23336,8448,22527,4096,2048,8192,8191,0.35104559478916697,5751.531025025712,2883584,4194304,401588224,402653184,1004535808,134217728
128,8,1,128,128,65536,512,512,512,128,128,256,os,nmk,4,4,2,python ./os/nmk/start_repeat.py,0,20896,8448,16255,4096,8192,2048,1919,0.39203675344563554,6423.130168453293,2097152,4194304,401588224,402653184,847249408,134217728
128,8,1,128,128,65536,512,512,512,128,128,256,os,kmn,4,4,2,python ./os/kmn/start_repeat.py,0,22698,8448,20480,2048,2048,8192,8192,0.3609128557582166,5913.19622874262,2621440,4194304,401588224,402653184,952107008,134217728
128,8,1,128,128,65536,512,512,512,128,128,256,os,knm,4,4,2,python ./os/knm/start_repeat.py,0,23336,8448,22527,4096,2048,8192,8191,0.35104559478916697,5751.531025025712,2883584,4194304,401588224,402653184,1004535808,134217728
128,8,1,128,128,65536,512,512,512,128,128,256,os,mnk,4,4,2,python ./os/mnk/start_repeat.py,0,20896,8448,16255,4096,8192,2048,1919,0.39203675344563554,6423.130168453293,2097152,4194304,401588224,402653184,847249408,134217728
