bandwidth,data_precision,compute_pipeline,Array_i,Array_j,sram_size,M,K,N,m,k,n,dataflow,loops,m_loop_times,k_loop_times,n_loop_times,cmd,ret_code,cycle,computation_cycle,communication_cycle,communication_A_cycle,communication_B_cycle,communication_C_cycle,communication_Y_cycle,PE_utility,throughput,communication_off_chip,communication_on_chip,communication_interval,communication_internal,energy_cost_communication,energy_cost_computation
1024,8,1,256,256,262144,2048,2048,2048,256,256,256,ws,nkm,8,8,8,python ./os/nkm/start_repeat.py,0,361663,131584,102336,32768,4096,32768,32704,0.36241473415859515,23751.212017817692,104857600,134217728,25735987200,25769803776,47546630144,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,256,ws,nmk,8,8,8,python ./os/nmk/start_repeat.py,0,336959,131584,73664,32768,32768,4096,4032,0.38898501004573255,25492.52161835713,75497472,134217728,25735987200,25769803776,41674604544,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,256,ws,kmn,8,8,8,python ./os/kmn/start_repeat.py,0,361663,131584,102336,4096,32768,32768,32704,0.36241473415859515,23751.212017817692,104857600,134217728,25735987200,25769803776,47546630144,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,256,ws,knm,8,8,8,python ./os/knm/start_repeat.py,0,361663,131584,102336,32768,4096,32768,32704,0.36241473415859515,23751.212017817692,104857600,134217728,25735987200,25769803776,47546630144,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,256,ws,mnk,8,8,8,python ./os/mnk/start_repeat.py,0,336959,131584,73664,32768,32768,4096,4032,0.38898501004573255,25492.52161835713,75497472,134217728,25735987200,25769803776,41674604544,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,256,ws,mkn,8,8,8,python ./os/mkn/start_repeat.py,0,361663,131584,102336,4096,32768,32768,32704,0.36241473415859515,23751.212017817692,104857600,134217728,25735987200,25769803776,47546630144,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,256,os,nkm,8,8,8,python ./os/nkm/start_repeat.py,0,361663,131584,102336,32768,4096,32768,32704,0.36241473415859515,23751.212017817692,104857600,134217728,25735987200,25769803776,47546630144,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,256,os,nmk,8,8,8,python ./os/nmk/start_repeat.py,0,336959,131584,73664,32768,32768,4096,4032,0.38898501004573255,25492.52161835713,75497472,134217728,25735987200,25769803776,41674604544,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,256,os,kmn,8,8,8,python ./os/kmn/start_repeat.py,0,361663,131584,102336,4096,32768,32768,32704,0.36241473415859515,23751.212017817692,104857600,134217728,25735987200,25769803776,47546630144,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,256,os,knm,8,8,8,python ./os/knm/start_repeat.py,0,361663,131584,102336,32768,4096,32768,32704,0.36241473415859515,23751.212017817692,104857600,134217728,25735987200,25769803776,47546630144,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,256,os,mnk,8,8,8,python ./os/mnk/start_repeat.py,0,336959,131584,73664,32768,32768,4096,4032,0.38898501004573255,25492.52161835713,75497472,134217728,25735987200,25769803776,41674604544,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,256,os,mkn,8,8,8,python ./os/mkn/start_repeat.py,0,361663,131584,102336,4096,32768,32768,32704,0.36241473415859515,23751.212017817692,104857600,134217728,25735987200,25769803776,47546630144,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,512,ws,nkm,8,8,4,python ./os/nkm/start_repeat.py,0,263360,131584,86016,16384,4096,32768,32768,0.4976913730255164,32616.701822600244,88080384,134217728,25735987200,25769803776,44191186944,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,512,ws,nmk,8,8,4,python ./os/nmk/start_repeat.py,0,263360,131584,57344,16384,32768,4096,4096,0.4976913730255164,32616.701822600244,58720256,134217728,25735987200,25769803776,38319161344,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,512,ws,kmn,8,8,4,python ./os/kmn/start_repeat.py,0,263360,131584,102400,4096,32768,32768,32768,0.4976913730255164,32616.701822600244,104857600,134217728,25735987200,25769803776,47546630144,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,512,ws,knm,8,8,4,python ./os/knm/start_repeat.py,0,263360,131584,86016,16384,4096,32768,32768,0.4976913730255164,32616.701822600244,88080384,134217728,25735987200,25769803776,44191186944,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,512,ws,mnk,8,8,4,python ./os/mnk/start_repeat.py,0,263360,131584,57344,16384,32768,4096,4096,0.4976913730255164,32616.701822600244,58720256,134217728,25735987200,25769803776,38319161344,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,512,ws,mkn,8,8,4,python ./os/mkn/start_repeat.py,0,263360,131584,102400,4096,32768,32768,32768,0.4976913730255164,32616.701822600244,104857600,134217728,25735987200,25769803776,47546630144,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,512,os,nkm,8,8,4,python ./os/nkm/start_repeat.py,0,263360,131584,86016,16384,4096,32768,32768,0.4976913730255164,32616.701822600244,88080384,134217728,25735987200,25769803776,44191186944,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,512,os,nmk,8,8,4,python ./os/nmk/start_repeat.py,0,263360,131584,57344,16384,32768,4096,4096,0.4976913730255164,32616.701822600244,58720256,134217728,25735987200,25769803776,38319161344,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,512,os,kmn,8,8,4,python ./os/kmn/start_repeat.py,0,263360,131584,102400,4096,32768,32768,32768,0.4976913730255164,32616.701822600244,104857600,134217728,25735987200,25769803776,47546630144,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,512,os,knm,8,8,4,python ./os/knm/start_repeat.py,0,263360,131584,86016,16384,4096,32768,32768,0.4976913730255164,32616.701822600244,88080384,134217728,25735987200,25769803776,44191186944,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,512,os,mnk,8,8,4,python ./os/mnk/start_repeat.py,0,263360,131584,57344,16384,32768,4096,4096,0.4976913730255164,32616.701822600244,58720256,134217728,25735987200,25769803776,38319161344,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,256,512,os,mkn,8,8,4,python ./os/mkn/start_repeat.py,0,263360,131584,102400,4096,32768,32768,32768,0.4976913730255164,32616.701822600244,104857600,134217728,25735987200,25769803776,47546630144,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,512,256,ws,nkm,8,4,8,python ./os/nkm/start_repeat.py,0,214142,131584,69568,32768,4096,16384,16320,0.6120798348759234,40113.26405842852,71303168,100663296,21457797120,25769803776,40634417152,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,512,256,ws,nmk,8,4,8,python ./os/nmk/start_repeat.py,0,205886,131584,73664,32768,32768,4096,4032,0.636624151229321,41721.80037496478,75497472,100663296,21457797120,25769803776,41473277952,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,512,256,ws,kmn,8,4,8,python ./os/kmn/start_repeat.py,0,214142,131584,69568,4096,32768,16384,16320,0.6120798348759234,40113.26405842852,71303168,100663296,21457797120,25769803776,40634417152,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,512,256,ws,knm,8,4,8,python ./os/knm/start_repeat.py,0,214142,131584,69568,32768,4096,16384,16320,0.6120798348759234,40113.26405842852,71303168,100663296,21457797120,25769803776,40634417152,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,512,256,ws,mnk,8,4,8,python ./os/mnk/start_repeat.py,0,205886,131584,73664,32768,32768,4096,4032,0.636624151229321,41721.80037496478,75497472,100663296,21457797120,25769803776,41473277952,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,512,256,ws,mkn,8,4,8,python ./os/mkn/start_repeat.py,0,214142,131584,69568,4096,32768,16384,16320,0.6120798348759234,40113.26405842852,71303168,100663296,21457797120,25769803776,40634417152,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,512,256,os,nkm,8,4,8,python ./os/nkm/start_repeat.py,0,214142,131584,69568,32768,4096,16384,16320,0.6120798348759234,40113.26405842852,71303168,100663296,21457797120,25769803776,40634417152,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,512,256,os,nmk,8,4,8,python ./os/nmk/start_repeat.py,0,205886,131584,73664,32768,32768,4096,4032,0.636624151229321,41721.80037496478,75497472,100663296,21457797120,25769803776,41473277952,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,512,256,os,kmn,8,4,8,python ./os/kmn/start_repeat.py,0,214142,131584,69568,4096,32768,16384,16320,0.6120798348759234,40113.26405842852,71303168,100663296,21457797120,25769803776,40634417152,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,512,256,os,knm,8,4,8,python ./os/knm/start_repeat.py,0,214142,131584,69568,32768,4096,16384,16320,0.6120798348759234,40113.26405842852,71303168,100663296,21457797120,25769803776,40634417152,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,512,256,os,mnk,8,4,8,python ./os/mnk/start_repeat.py,0,205886,131584,73664,32768,32768,4096,4032,0.636624151229321,41721.80037496478,75497472,100663296,21457797120,25769803776,41473277952,8589934592
1024,8,1,256,256,262144,2048,2048,2048,256,512,256,os,mkn,8,4,8,python ./os/mkn/start_repeat.py,0,214142,131584,69568,4096,32768,16384,16320,0.6120798348759234,40113.26405842852,71303168,100663296,21457797120,25769803776,40634417152,8589934592
1024,8,1,256,256,262144,2048,2048,2048,512,256,256,ws,nkm,4,8,8,python ./os/nkm/start_repeat.py,0,263360,131584,102400,32768,4096,32768,32768,0.4976913730255164,32616.701822600244,104857600,134217728,25735987200,25769803776,47546630144,8589934592
1024,8,1,256,256,262144,2048,2048,2048,512,256,256,ws,nmk,4,8,8,python ./os/nmk/start_repeat.py,0,263360,131584,57344,32768,16384,4096,4096,0.4976913730255164,32616.701822600244,58720256,134217728,25735987200,25769803776,38319161344,8589934592
1024,8,1,256,256,262144,2048,2048,2048,512,256,256,ws,kmn,4,8,8,python ./os/kmn/start_repeat.py,0,263360,131584,86016,4096,16384,32768,32768,0.4976913730255164,32616.701822600244,88080384,134217728,25735987200,25769803776,44191186944,8589934592
1024,8,1,256,256,262144,2048,2048,2048,512,256,256,ws,knm,4,8,8,python ./os/knm/start_repeat.py,0,263360,131584,102400,32768,4096,32768,32768,0.4976913730255164,32616.701822600244,104857600,134217728,25735987200,25769803776,47546630144,8589934592
1024,8,1,256,256,262144,2048,2048,2048,512,256,256,ws,mnk,4,8,8,python ./os/mnk/start_repeat.py,0,263360,131584,57344,32768,16384,4096,4096,0.4976913730255164,32616.701822600244,58720256,134217728,25735987200,25769803776,38319161344,8589934592
1024,8,1,256,256,262144,2048,2048,2048,512,256,256,ws,mkn,4,8,8,python ./os/mkn/start_repeat.py,0,263360,131584,86016,4096,16384,32768,32768,0.4976913730255164,32616.701822600244,88080384,134217728,25735987200,25769803776,44191186944,8589934592
1024,8,1,256,256,262144,2048,2048,2048,512,256,256,os,nkm,4,8,8,python ./os/nkm/start_repeat.py,0,263360,131584,102400,32768,4096,32768,32768,0.4976913730255164,32616.701822600244,104857600,134217728,25735987200,25769803776,47546630144,8589934592
1024,8,1,256,256,262144,2048,2048,2048,512,256,256,os,nmk,4,8,8,python ./os/nmk/start_repeat.py,0,263360,131584,57344,32768,16384,4096,4096,0.4976913730255164,32616.701822600244,58720256,134217728,25735987200,25769803776,38319161344,8589934592
1024,8,1,256,256,262144,2048,2048,2048,512,256,256,os,kmn,4,8,8,python ./os/kmn/start_repeat.py,0,263360,131584,86016,4096,16384,32768,32768,0.4976913730255164,32616.701822600244,88080384,134217728,25735987200,25769803776,44191186944,8589934592
1024,8,1,256,256,262144,2048,2048,2048,512,256,256,os,knm,4,8,8,python ./os/knm/start_repeat.py,0,263360,131584,102400,32768,4096,32768,32768,0.4976913730255164,32616.701822600244,104857600,134217728,25735987200,25769803776,47546630144,8589934592
1024,8,1,256,256,262144,2048,2048,2048,512,256,256,os,mnk,4,8,8,python ./os/mnk/start_repeat.py,0,263360,131584,57344,32768,16384,4096,4096,0.4976913730255164,32616.701822600244,58720256,134217728,25735987200,25769803776,38319161344,8589934592
1024,8,1,256,256,262144,2048,2048,2048,512,256,256,os,mkn,4,8,8,python ./os/mkn/start_repeat.py,0,263360,131584,86016,4096,16384,32768,32768,0.4976913730255164,32616.701822600244,88080384,134217728,25735987200,25769803776,44191186944,8589934592
