m,k,n,dataflow,loops
256,256,256,ws,nkm
256,256,256,ws,nmk
256,256,256,ws,kmn
256,256,256,ws,knm
256,256,256,ws,mnk
256,256,256,ws,mkn
256,256,256,os,nkm
256,256,256,os,nmk
256,256,256,os,kmn
256,256,256,os,knm
256,256,256,os,mnk
256,256,256,os,mkn
256,256,512,ws,nkm
256,256,512,ws,nmk
256,256,512,ws,kmn
256,256,512,ws,knm
256,256,512,ws,mnk
256,256,512,ws,mkn
256,256,512,os,nkm
256,256,512,os,nmk
256,256,512,os,kmn
256,256,512,os,knm
256,256,512,os,mnk
256,256,512,os,mkn
256,256,1024,ws,nkm
256,256,1024,ws,nmk
256,256,1024,ws,kmn
256,256,1024,ws,knm
256,256,1024,ws,mnk
256,256,1024,ws,mkn
256,256,1024,os,nkm
256,256,1024,os,nmk
256,256,1024,os,kmn
256,256,1024,os,knm
256,256,1024,os,mnk
256,256,1024,os,mkn
256,256,2048,ws,nkm
256,256,2048,ws,nmk
256,256,2048,ws,kmn
256,256,2048,ws,knm
256,256,2048,ws,mnk
256,256,2048,ws,mkn
256,256,2048,os,nkm
256,256,2048,os,nmk
256,256,2048,os,kmn
256,256,2048,os,knm
256,256,2048,os,mnk
256,256,2048,os,mkn
256,512,256,ws,nkm
256,512,256,ws,nmk
256,512,256,ws,kmn
256,512,256,ws,knm
256,512,256,ws,mnk
256,512,256,ws,mkn
256,512,256,os,nkm
256,512,256,os,nmk
256,512,256,os,kmn
256,512,256,os,knm
256,512,256,os,mnk
256,512,256,os,mkn
256,512,512,ws,nkm
256,512,512,ws,nmk
256,512,512,ws,kmn
256,512,512,ws,knm
256,512,512,ws,mnk
256,512,512,ws,mkn
256,512,512,os,nkm
256,512,512,os,nmk
256,512,512,os,kmn
256,512,512,os,knm
256,512,512,os,mnk
256,512,512,os,mkn
256,512,1024,ws,nkm
256,512,1024,ws,nmk
256,512,1024,ws,kmn
256,512,1024,ws,knm
256,512,1024,ws,mnk
256,512,1024,ws,mkn
256,512,1024,os,nkm
256,512,1024,os,nmk
256,512,1024,os,kmn
256,512,1024,os,knm
256,512,1024,os,mnk
256,512,1024,os,mkn
256,512,2048,ws,nkm
256,512,2048,ws,nmk
256,512,2048,ws,kmn
256,512,2048,ws,knm
256,512,2048,ws,mnk
256,512,2048,ws,mkn
256,512,2048,os,nkm
256,512,2048,os,nmk
256,512,2048,os,kmn
256,512,2048,os,knm
256,512,2048,os,mnk
256,512,2048,os,mkn
256,1024,256,ws,nkm
256,1024,256,ws,nmk
256,1024,256,ws,kmn
256,1024,256,ws,knm
256,1024,256,ws,mnk
256,1024,256,ws,mkn
256,1024,256,os,nkm
256,1024,256,os,nmk
256,1024,256,os,kmn
256,1024,256,os,knm
256,1024,256,os,mnk
256,1024,256,os,mkn
256,1024,512,ws,nkm
256,1024,512,ws,nmk
256,1024,512,ws,kmn
256,1024,512,ws,knm
256,1024,512,ws,mnk
256,1024,512,ws,mkn
256,1024,512,os,nkm
256,1024,512,os,nmk
256,1024,512,os,kmn
256,1024,512,os,knm
256,1024,512,os,mnk
256,1024,512,os,mkn
256,1024,1024,ws,nkm
256,1024,1024,ws,nmk
256,1024,1024,ws,kmn
256,1024,1024,ws,knm
256,1024,1024,ws,mnk
256,1024,1024,ws,mkn
256,1024,1024,os,nkm
256,1024,1024,os,nmk
256,1024,1024,os,kmn
256,1024,1024,os,knm
256,1024,1024,os,mnk
256,1024,1024,os,mkn
256,2048,256,ws,nkm
256,2048,256,ws,nmk
256,2048,256,ws,kmn
256,2048,256,ws,knm
256,2048,256,ws,mnk
256,2048,256,ws,mkn
256,2048,256,os,nkm
256,2048,256,os,nmk
256,2048,256,os,kmn
256,2048,256,os,knm
256,2048,256,os,mnk
256,2048,256,os,mkn
256,2048,512,ws,nkm
256,2048,512,ws,nmk
256,2048,512,ws,kmn
256,2048,512,ws,knm
256,2048,512,ws,mnk
256,2048,512,ws,mkn
256,2048,512,os,nkm
256,2048,512,os,nmk
256,2048,512,os,kmn
256,2048,512,os,knm
256,2048,512,os,mnk
256,2048,512,os,mkn
512,256,256,ws,nkm
512,256,256,ws,nmk
512,256,256,ws,kmn
512,256,256,ws,knm
512,256,256,ws,mnk
512,256,256,ws,mkn
512,256,256,os,nkm
512,256,256,os,nmk
512,256,256,os,kmn
512,256,256,os,knm
512,256,256,os,mnk
512,256,256,os,mkn
512,256,512,ws,nkm
512,256,512,ws,nmk
512,256,512,ws,kmn
512,256,512,ws,knm
512,256,512,ws,mnk
512,256,512,ws,mkn
512,256,512,os,nkm
512,256,512,os,nmk
512,256,512,os,kmn
512,256,512,os,knm
512,256,512,os,mnk
512,256,512,os,mkn
512,256,1024,ws,nkm
512,256,1024,ws,nmk
512,256,1024,ws,kmn
512,256,1024,ws,knm
512,256,1024,ws,mnk
512,256,1024,ws,mkn
512,256,1024,os,nkm
512,256,1024,os,nmk
512,256,1024,os,kmn
512,256,1024,os,knm
512,256,1024,os,mnk
512,256,1024,os,mkn
512,256,2048,ws,nkm
512,256,2048,ws,nmk
512,256,2048,ws,kmn
512,256,2048,ws,knm
512,256,2048,ws,mnk
512,256,2048,ws,mkn
512,256,2048,os,nkm
512,256,2048,os,nmk
512,256,2048,os,kmn
512,256,2048,os,knm
512,256,2048,os,mnk
512,256,2048,os,mkn
512,512,256,ws,nkm
512,512,256,ws,nmk
512,512,256,ws,kmn
512,512,256,ws,knm
512,512,256,ws,mnk
512,512,256,ws,mkn
512,512,256,os,nkm
512,512,256,os,nmk
512,512,256,os,kmn
512,512,256,os,knm
512,512,256,os,mnk
512,512,256,os,mkn
512,512,512,ws,nkm
512,512,512,ws,nmk
512,512,512,ws,kmn
512,512,512,ws,knm
512,512,512,ws,mnk
512,512,512,ws,mkn
512,512,512,os,nkm
512,512,512,os,nmk
512,512,512,os,kmn
512,512,512,os,knm
512,512,512,os,mnk
512,512,512,os,mkn
512,512,1024,ws,nkm
512,512,1024,ws,nmk
512,512,1024,ws,kmn
512,512,1024,ws,knm
512,512,1024,ws,mnk
512,512,1024,ws,mkn
512,512,1024,os,nkm
512,512,1024,os,nmk
512,512,1024,os,kmn
512,512,1024,os,knm
512,512,1024,os,mnk
512,512,1024,os,mkn
512,512,2048,ws,nkm
512,512,2048,ws,nmk
512,512,2048,ws,kmn
512,512,2048,ws,knm
512,512,2048,ws,mnk
512,512,2048,ws,mkn
512,512,2048,os,nkm
512,512,2048,os,nmk
512,512,2048,os,kmn
512,512,2048,os,knm
512,512,2048,os,mnk
512,512,2048,os,mkn
512,1024,256,ws,nkm
512,1024,256,ws,nmk
512,1024,256,ws,kmn
512,1024,256,ws,knm
512,1024,256,ws,mnk
512,1024,256,ws,mkn
512,1024,256,os,nkm
512,1024,256,os,nmk
512,1024,256,os,kmn
512,1024,256,os,knm
512,1024,256,os,mnk
512,1024,256,os,mkn
512,1024,512,ws,nkm
512,1024,512,ws,nmk
512,1024,512,ws,kmn
512,1024,512,ws,knm
512,1024,512,ws,mnk
512,1024,512,ws,mkn
512,1024,512,os,nkm
512,1024,512,os,nmk
512,1024,512,os,kmn
512,1024,512,os,knm
512,1024,512,os,mnk
512,1024,512,os,mkn
512,1024,1024,ws,nkm
512,1024,1024,ws,nmk
512,1024,1024,ws,kmn
512,1024,1024,ws,knm
512,1024,1024,ws,mnk
512,1024,1024,ws,mkn
512,1024,1024,os,nkm
512,1024,1024,os,nmk
512,1024,1024,os,kmn
512,1024,1024,os,knm
512,1024,1024,os,mnk
512,1024,1024,os,mkn
512,2048,256,ws,nkm
512,2048,256,ws,nmk
512,2048,256,ws,kmn
512,2048,256,ws,knm
512,2048,256,ws,mnk
512,2048,256,ws,mkn
