bandwidth,data_precision,compute_pipeline,Array_i,Array_j,sram_size,M,K,N,m,k,n,dataflow,loops,m_loop_times,k_loop_times,n_loop_times,cmd,ret_code,cycle,computation_cycle,communication_cycle,communication_A_cycle,communication_B_cycle,communication_C_cycle,communication_Y_cycle,PE_utility,throughput,communication_off_chip,communication_on_chip,communication_interval,communication_internal,energy_cost_communication,energy_cost_computation
128,8,1,32,32,4096,512,512,512,32,32,32,ws,nkm,16,16,16,python ./os/nkm/start_repeat.py,0,366647,131136,100344,32768,2048,32768,32760,0.3574882652796832,366.0679836463956,12845056,16777216,398196736,402653184,3072327680,134217728
128,8,1,32,32,4096,512,512,512,32,32,32,ws,nmk,16,16,16,python ./os/nmk/start_repeat.py,0,337959,131136,69624,32768,32768,2048,2040,0.3878340272044834,397.142043857391,8912896,16777216,398196736,402653184,2285895680,134217728
128,8,1,32,32,4096,512,512,512,32,32,32,ws,kmn,16,16,16,python ./os/kmn/start_repeat.py,0,366647,131136,100344,2048,32768,32768,32760,0.3574882652796832,366.0679836463956,12845056,16777216,398196736,402653184,3072327680,134217728
128,8,1,32,32,4096,512,512,512,32,32,32,ws,knm,16,16,16,python ./os/knm/start_repeat.py,0,366647,131136,100344,32768,2048,32768,32760,0.3574882652796832,366.0679836463956,12845056,16777216,398196736,402653184,3072327680,134217728
128,8,1,32,32,4096,512,512,512,32,32,32,ws,mnk,16,16,16,python ./os/mnk/start_repeat.py,0,337959,131136,69624,32768,32768,2048,2040,0.3878340272044834,397.142043857391,8912896,16777216,398196736,402653184,2285895680,134217728
128,8,1,32,32,4096,512,512,512,32,32,32,ws,mkn,16,16,16,python ./os/mkn/start_repeat.py,0,366647,131136,100344,2048,32768,32768,32760,0.3574882652796832,366.0679836463956,12845056,16777216,398196736,402653184,3072327680,134217728
128,8,1,32,32,4096,512,512,512,32,32,32,os,nkm,16,16,16,python ./os/nkm/start_repeat.py,0,366647,131136,100344,32768,2048,32768,32760,0.3574882652796832,366.0679836463956,12845056,16777216,398196736,402653184,3072327680,134217728
128,8,1,32,32,4096,512,512,512,32,32,32,os,nmk,16,16,16,python ./os/nmk/start_repeat.py,0,337959,131136,69624,32768,32768,2048,2040,0.3878340272044834,397.142043857391,8912896,16777216,398196736,402653184,2285895680,134217728
128,8,1,32,32,4096,512,512,512,32,32,32,os,kmn,16,16,16,python ./os/kmn/start_repeat.py,0,366647,131136,100344,2048,32768,32768,32760,0.3574882652796832,366.0679836463956,12845056,16777216,398196736,402653184,3072327680,134217728
128,8,1,32,32,4096,512,512,512,32,32,32,os,knm,16,16,16,python ./os/knm/start_repeat.py,0,366647,131136,100344,32768,2048,32768,32760,0.3574882652796832,366.0679836463956,12845056,16777216,398196736,402653184,3072327680,134217728
128,8,1,32,32,4096,512,512,512,32,32,32,os,mnk,16,16,16,python ./os/mnk/start_repeat.py,0,337959,131136,69624,32768,32768,2048,2040,0.3878340272044834,397.142043857391,8912896,16777216,398196736,402653184,2285895680,134217728
128,8,1,32,32,4096,512,512,512,32,32,32,os,mkn,16,16,16,python ./os/mkn/start_repeat.py,0,366647,131136,100344,2048,32768,32768,32760,0.3574882652796832,366.0679836463956,12845056,16777216,398196736,402653184,3072327680,134217728
128,8,1,32,32,4096,512,512,512,32,32,64,ws,nkm,16,16,8,python ./os/nkm/start_repeat.py,0,264312,131136,83968,16384,2048,32768,32768,0.4958987862828778,507.8003571536669,10747904,16777216,398196736,402653184,2652897280,134217728
128,8,1,32,32,4096,512,512,512,32,32,64,ws,nmk,16,16,8,python ./os/nmk/start_repeat.py,0,264312,131136,53248,16384,32768,2048,2048,0.4958987862828778,507.8003571536669,6815744,16777216,398196736,402653184,1866465280,134217728
128,8,1,32,32,4096,512,512,512,32,32,64,ws,kmn,16,16,8,python ./os/kmn/start_repeat.py,0,264312,131136,100352,2048,32768,32768,32768,0.4958987862828778,507.8003571536669,12845056,16777216,398196736,402653184,3072327680,134217728
128,8,1,32,32,4096,512,512,512,32,32,64,ws,knm,16,16,8,python ./os/knm/start_repeat.py,0,264312,131136,83968,16384,2048,32768,32768,0.4958987862828778,507.8003571536669,10747904,16777216,398196736,402653184,2652897280,134217728
128,8,1,32,32,4096,512,512,512,32,32,64,ws,mnk,16,16,8,python ./os/mnk/start_repeat.py,0,264312,131136,53248,16384,32768,2048,2048,0.4958987862828778,507.8003571536669,6815744,16777216,398196736,402653184,1866465280,134217728
128,8,1,32,32,4096,512,512,512,32,32,64,ws,mkn,16,16,8,python ./os/mkn/start_repeat.py,0,264312,131136,100352,2048,32768,32768,32768,0.4958987862828778,507.8003571536669,12845056,16777216,398196736,402653184,3072327680,134217728
128,8,1,32,32,4096,512,512,512,32,32,64,os,nkm,16,16,8,python ./os/nkm/start_repeat.py,0,264312,131136,83968,16384,2048,32768,32768,0.4958987862828778,507.8003571536669,10747904,16777216,398196736,402653184,2652897280,134217728
