bandwidth,data_precision,compute_pipeline,Array_i,Array_j,sram_size,M,K,N,m,k,n,dataflow,loops,m_loop_times,k_loop_times,n_loop_times,cmd,ret_code,cycle,computation_cycle,communication_cycle,communication_A_cycle,communication_B_cycle,communication_C_cycle,communication_Y_cycle,PE_utility,throughput,communication_off_chip,communication_on_chip,communication_interval,communication_internal,energy_cost_communication,energy_cost_computation
32,8,1,64,64,524288,512,512,512,64,64,64,ws,nkm,8,8,8,python ./os/nkm/start_repeat.py,0,205442,32896,204736,65536,8192,65536,65472,0.15950000486755386,653.3120199375006,6553600,8388608,400490496,402653184,1763704832,134217728
32,8,1,64,64,524288,512,512,512,64,64,64,ws,nmk,8,8,8,python ./os/nmk/start_repeat.py,0,148159,32896,147390,65536,65536,8192,8126,0.22116779945868964,905.9033065827928,4718592,8388608,400490496,402653184,1396703232,134217728
32,8,1,64,64,524288,512,512,512,64,64,64,ws,kmn,8,8,8,python ./os/kmn/start_repeat.py,0,205442,32896,204736,8192,65536,65536,65472,0.15950000486755386,653.3120199375006,6553600,8388608,400490496,402653184,1763704832,134217728
32,8,1,64,64,524288,512,512,512,64,64,64,ws,knm,8,8,8,python ./os/knm/start_repeat.py,0,205442,32896,204736,65536,8192,65536,65472,0.15950000486755386,653.3120199375006,6553600,8388608,400490496,402653184,1763704832,134217728
32,8,1,64,64,524288,512,512,512,64,64,64,ws,mnk,8,8,8,python ./os/mnk/start_repeat.py,0,148159,32896,147390,65536,65536,8192,8126,0.22116779945868964,905.9033065827928,4718592,8388608,400490496,402653184,1396703232,134217728
32,8,1,64,64,524288,512,512,512,64,64,64,ws,mkn,8,8,8,python ./os/mkn/start_repeat.py,0,205442,32896,204736,8192,65536,65536,65472,0.15950000486755386,653.3120199375006,6553600,8388608,400490496,402653184,1763704832,134217728
32,8,1,64,64,524288,512,512,512,64,64,64,os,nkm,8,8,8,python ./os/nkm/start_repeat.py,0,205442,32896,204736,65536,8192,65536,65472,0.15950000486755386,653.3120199375006,6553600,8388608,400490496,402653184,1763704832,134217728
32,8,1,64,64,524288,512,512,512,64,64,64,os,nmk,8,8,8,python ./os/nmk/start_repeat.py,0,148159,32896,147390,65536,65536,8192,8126,0.22116779945868964,905.9033065827928,4718592,8388608,400490496,402653184,1396703232,134217728
32,8,1,64,64,524288,512,512,512,64,64,64,os,kmn,8,8,8,python ./os/kmn/start_repeat.py,0,205442,32896,204736,8192,65536,65536,65472,0.15950000486755386,653.3120199375006,6553600,8388608,400490496,402653184,1763704832,134217728
32,8,1,64,64,524288,512,512,512,64,64,64,os,knm,8,8,8,python ./os/knm/start_repeat.py,0,205442,32896,204736,65536,8192,65536,65472,0.15950000486755386,653.3120199375006,6553600,8388608,400490496,402653184,1763704832,134217728
